iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,kapw_nonres
UGA,UGANDA,1124.0,609.749057,0.542481,1.355513,1.355513,2.27,0.004009,0.338194,0.116279,0.227237,0.003667,12.97,0.0,0.0,
URY,URUGUAY,12054.0,24341.881795,2.019403,2.281561,2.281561,6.86,0.001745,0.487917,0.046512,0.267214,0.387222,17.07,0.1455,0.8633,
USA,U.S.A.,36083.0,19619.298246,0.543727,3.39234,3.39234,12.14,0.015022,0.889583,1.0,0.944792,0.432222,2.56,0.7544,0.1335,19619.298246
VEN,VENEZUELA,19692.0,13891.287825,0.705428,1.821445,1.821445,4.63,0.0,0.600556,0.302326,0.451441,0.116444,8.94,0.1455,0.8633,13891.287825
VUT,VANUATU,5247.0,9100.310189,1.734383,,,,0.0,,0.0,,0.197,30.86,0.2296,0.2296,
WSM,WESTERN SAMOA,6595.0,28068.489909,4.256026,,,,0.0,,0.0,,0.153667,32.77,,,
YEM,YEMEN,7619.0,8590.171149,1.127467,1.01621,1.01621,0.12,0.121156,0.527778,1.0,0.763889,0.170556,16.83,0.0,0.0095,
YUG,YUGOSLAVIA,10893.0,5824.188396,0.534673,,,,0.0,,0.0,,0.498,25.82,,,5824.188396
ZAF,SOUTH AFRICA,9975.0,26317.256642,2.638321,1.84925,1.84925,4.78,0.089839,0.710694,0.023256,0.366975,0.285889,8.9,0.0656,0.0656,
ZAR,ZAIRE,1206.0,925.270153,0.767222,,,,0.0,,0.0,,0.048,8.97,,,
ZMB,ZAMBIA,2262.0,1394.23913,0.616375,1.716076,1.716076,4.04,0.153061,0.385417,0.0,0.192708,0.171333,13.81,0.0082,0.0082,1394.23913
ZWE,ZIMBABWE,2469.0,3904.60486,1.581452,1.706868,1.706868,3.99,0.036853,0.537639,0.0,0.268819,0.198,11.27,0.0164,0.0164,3904.60486
