iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,rgdpo,emp,csh_i,delta,labsh
BWA,Botswana,41205.707887,138641.301738,3.364614,2.936916,2.936916,10.02,0.180119,0.585813,0.607892,0.596853,0.273889,24.03,,,37975.007812,0.921596,0.325382,0.04486,0.277961
CAF,Central African Republic,2517.14929,4742.646952,1.884134,1.749325,1.749325,4.23,0.025031,,0.469239,,0.048556,15.13,0.0,0.0,4642.44873,1.844328,0.164904,0.032159,0.164316
CAN,Canada,96701.774302,302371.876007,3.126849,3.62118,3.62118,13.1,0.048388,0.885317,0.809605,0.847461,0.504667,4.97,0.437144,0.437144,1866214.875,19.298662,0.234846,0.034886,0.65488
CHE,Switzerland,129094.631173,460250.781224,3.56522,3.688279,3.688279,13.37,0.001128,0.875099,0.780252,0.827676,0.521667,32.57,0.011175,0.576,646919.625,5.011205,0.305986,0.054429,0.6841
CHL,Chile,54404.868106,141527.603051,2.601378,3.05922,3.05922,10.62,0.107514,0.728472,0.713217,0.720845,0.371667,7.25,0.1335,0.7921,440683.34375,8.100072,0.25279,0.042614,0.439614
CHN,China,25359.869471,98261.778168,3.874696,2.570447,2.570447,8.06,0.0,0.482341,0.543108,0.512725,0.443556,2.3,0.0,0.0,20257660.0,798.807739,0.454168,0.052319,0.586253
CIV,Côte d'Ivoire,17242.065717,19574.364844,1.135268,1.8908,1.8908,5.0,0.065033,0.358929,0.606895,0.482912,0.059444,16.58,0.0,0.0,129491.773438,7.510224,0.177266,0.0552,0.334099
CMR,Cameroon,9115.774666,15071.020464,1.65329,2.265488,2.265488,6.79,0.051932,0.42252,0.577472,0.499996,0.043,15.79,0.0,0.0,94487.523438,10.365276,0.169368,0.048996,0.503529
COD,D.R. of the Congo,3527.192496,5756.738748,1.632102,1.697743,1.697743,3.95,0.205609,0.261012,0.41871,0.339861,0.048,,0.0,0.0,88673.375,25.139931,0.142562,0.0294,
COG,Congo,12432.733416,42557.767482,3.423042,2.115117,2.115117,6.11,0.248985,0.446429,0.422843,0.434636,0.047444,25.77,0.0,0.0093,25057.650391,2.015458,0.153779,0.038339,
COL,Colombia,33380.788458,68667.596102,2.057099,2.815669,2.815669,9.4,0.062517,0.542857,0.688987,0.615922,0.051111,7.54,0.1485,0.8811,707659.625,21.199608,0.157377,0.039291,0.495211
COM,Comoros,13557.894788,28732.6171,2.119254,,,,0.011558,,0.610085,,0.13,46.77,0.0,0.0,2730.402588,0.201388,0.125153,0.032757,
CPV,Cabo Verde,18846.6036,67091.045083,3.559848,,,,0.003488,,0.672346,,0.165778,45.11,0.0,0.77,3998.619385,0.212167,0.242827,0.039851,0.626748
CRI,Costa Rica,41434.883434,75290.89163,1.81709,2.659345,2.659345,8.56,0.003016,0.581052,0.664535,0.622793,0.110333,23.37,0.144,0.8544,93491.828125,2.256356,0.155651,0.050788,0.579786
CUW,Curaçao,56739.529877,408650.17319,7.202213,,,,0.0,,,,,,,,3458.310059,0.060951,0.356962,,0.681031
CYM,Cayman Islands,88807.971657,241252.364118,2.716562,,,,0.0,,,,0.214444,,0.357455,0.357455,4004.11499,0.045087,0.206175,0.036821,0.480495
CYP,Cyprus,76531.592174,276814.235163,3.616993,3.42945,3.42945,12.3,0.000843,0.81379,0.685772,0.749781,0.390778,54.39,0.0,0.004,28053.96875,0.366567,0.276725,0.035923,0.552714
CZE,Czech Republic,73169.235103,246605.947311,3.37035,3.655818,3.655818,13.24,0.006763,0.706944,0.719301,0.713123,0.556444,21.07,0.0,0.0,401072.21875,5.481432,0.290892,0.052544,0.54925
DEU,Germany,95441.304668,281186.810344,2.946175,3.538419,3.538419,12.76,0.001504,0.861806,0.760444,0.811125,0.583556,18.47,0.0,0.0001,4275312.0,44.795197,0.227068,0.03841,0.641904
DJI,Djibouti,16028.984327,57006.541583,3.556466,,,,0.003255,,0.666802,,0.128667,70.97,0.0,0.0009,5970.281738,0.372468,0.616744,0.067113,0.633569
DNK,Denmark,104931.073085,341230.356208,3.251948,3.337426,3.337426,11.9,0.011306,0.895933,0.784019,0.839976,0.618556,30.89,0.0,0.0,311838.0,2.971837,0.295379,0.045134,0.620392
DOM,Dominican Republic,37551.49956,76398.380813,2.034496,2.587986,2.587986,8.16,0.019204,0.507738,0.613489,0.560613,0.205222,22.37,0.1485,0.8811,192514.5,5.126679,0.240429,0.033724,0.426877
DZA,Algeria,45016.157022,185365.753219,4.11776,2.309382,2.309382,6.98,0.238868,0.503274,0.444933,0.474103,0.408333,13.97,0.0,0.0062,507487.5625,11.273454,0.304873,0.045639,
ECU,Ecuador,23670.645062,65772.506221,2.778653,2.623423,2.623423,8.36,0.059657,0.487599,0.596075,0.541837,0.002444,11.42,0.1395,0.8277,195204.015625,8.246671,0.254877,0.041143,0.666959
EGY,Egypt,45183.26889,41805.842599,0.925251,2.339904,2.339904,7.11,0.110592,0.446032,0.436136,0.441084,0.333889,11.75,0.0,0.0095,1210669.75,26.794647,0.094805,0.056013,0.362036
ESP,Spain,94937.299068,307217.275058,3.236002,3.201822,3.201822,11.29,0.002553,0.752282,0.727172,0.739727,0.448889,12.38,0.1335,0.1335,1886595.25,19.872013,0.266964,0.038319,0.555432
EST,Estonia,66683.475072,205254.482983,3.078041,3.51205,3.51205,12.65,0.011042,0.682044,0.792672,0.737358,,,0.0,0.0068,44876.347656,0.672976,0.305618,0.047004,0.588353
ETH,Ethiopia,5252.01727,7225.289904,1.375717,,,,0.001938,0.505456,0.568186,0.536821,0.100222,8.44,,,304937.21875,58.06097,0.240273,0.047218,
FIN,Finland,92961.458097,342800.389348,3.687554,3.234648,3.234648,11.44,0.004836,0.904067,0.773461,0.838764,0.668556,21.64,0.0,0.0,248551.546875,2.673705,0.265291,0.038347,0.571272
FJI,Fiji,39708.923148,76013.607974,1.91427,3.09479,3.09479,10.79,0.006602,,0.718239,,0.201444,18.56,0.0082,0.0082,12240.177734,0.308248,0.196941,0.083205,0.488626
FRA,France,103284.031296,338983.236856,3.282049,3.292345,3.292345,11.7,0.00091,0.764087,0.708644,0.736366,0.543,15.26,0.0015,0.009098,2946958.25,28.532564,0.273326,0.037865,0.624132
GAB,Gabon,51151.277482,115760.298506,2.263097,2.736391,2.736391,8.98,0.350638,0.447619,0.48278,0.465199,0.004333,30.65,0.0,0.0279,33658.085938,0.658011,0.175194,0.048529,0.274865
GBR,United Kingdom,90650.971454,264998.284266,2.923281,3.538419,3.538419,12.76,0.0,0.845833,0.787606,0.81672,0.572222,13.47,0.7544,0.7544,2989895.5,32.982498,0.246945,0.039701,0.589645
GEO,Georgia,49681.958895,81246.037335,1.635323,,,,0.011789,,0.777688,,0.463222,,0.0,0.002399,68167.484375,1.372077,0.191077,0.043566,0.446428
GHA,Ghana,12339.653633,30332.822727,2.458158,2.300071,2.300071,6.94,0.136209,0.579563,0.672306,0.625935,0.061667,18.87,0.0,0.0,163139.15625,13.220724,0.168337,0.045731,
GIN,Guinea,6240.493028,9556.383766,1.531351,,,,0.146248,0.412302,0.534719,0.47351,0.105889,23.95,0.0,0.0,29205.351562,4.679975,0.079514,0.056497,0.419601
