iso3,country,yl,rgdpo,emp,pop,K,ky_ratio,hc,hc_bl,hc_pwt,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,delta,labsh,csh_i
COG,Congo,8406.84834,5973.931641,0.710603,2.231465,21567.927341,3.61034,1.543666,1.543666,1.693695,3.24,0.182442,0.333197,0.0,0.166599,0.047444,25.77,0.0,0.0093,0.047763,,0.096641
COL,Colombia,24464.541001,238496.984375,9.74868,31.822525,583643.657848,2.447174,1.851118,1.851118,1.89358,4.79,0.07335,0.432488,0.162791,0.297639,0.051111,7.54,0.1485,0.8811,0.031629,0.475737,0.218001
COM,Comoros,21362.31216,1782.160767,0.083425,0.387963,7203.026079,4.041738,,,,,0.012715,0.280229,,,0.13,46.77,0.0,0.0,0.029065,,0.412683
CPV,Cabo Verde,7056.399928,758.190674,0.107447,0.325746,4380.093499,5.777034,,,,,0.001648,0.703828,,,0.165778,45.11,0.0,0.77,0.039759,0.563786,0.455182
CRI,Costa Rica,24334.988686,24281.142578,0.997787,2.960929,32430.384586,1.33562,2.100216,2.100216,2.188724,6.04,0.003874,0.613658,0.390244,0.501951,0.110333,23.37,0.144,0.8544,0.049814,0.575478,0.135534
CUW,Curaçao,,,,,34810.52979,,,,,,,,,,,,,,,,
CYM,Cayman Islands,,1590.513794,,0.022761,2974.933337,1.870423,,,,,,0.804187,,,0.214444,,0.357455,0.357455,0.029473,,0.287347
CYP,Cyprus,53187.838782,11254.375,0.211597,0.5593,51765.533204,4.599592,2.48107,2.48107,2.267923,7.69,0.002458,0.750252,1.0,0.875126,0.390778,54.39,0.0,0.004,0.037092,0.49921,0.419966
CZE,Czech Republic,,,,,755208.725316,,3.026116,3.026116,,10.46,0.038339,0.663599,,,0.556444,21.07,0.0,0.0,,0.513833,
DEU,Germany,50000.24156,1979925.375,39.598316,78.307525,6860752.704629,3.465157,2.446235,2.446235,3.378371,7.55,0.009151,0.870645,,,0.583556,18.47,0.0,0.0001,0.034074,0.668121,0.283544
DJI,Djibouti,11180.773685,1823.388306,0.163082,0.528999,2989.424024,1.639488,,,,,,0.355055,,,0.128667,70.97,0.0,0.0009,0.029081,0.580827,0.148681
DMA,Dominica,,646.584229,,0.071208,588.872468,0.910744,,,,,,0.675076,,,0.17,75.08,0.0328,0.0328,0.058195,,0.096402
DNK,Denmark,52238.416058,138433.875,2.65004,5.122441,445718.255181,3.21972,2.563465,2.563465,3.071376,8.02,0.010363,0.901751,0.767442,0.834596,0.618556,30.89,0.0,0.0,0.034777,0.641629,0.264726
DOM,Dominican Republic,21011.112357,41856.039062,1.992091,6.863441,72259.100458,1.726372,1.799502,1.799502,1.869675,4.51,0.021056,0.455034,,,0.205222,22.37,0.1485,0.8811,0.041797,0.644174,0.197477
DZA,Algeria,50749.267828,229866.4375,4.529453,24.443467,1312793.687144,5.711115,1.399815,1.399815,1.456843,2.51,0.246699,0.375191,0.0,0.187596,0.408333,13.97,0.0,0.0062,0.040157,,0.422858
ECU,Ecuador,19762.764882,58496.1875,2.959919,9.755579,175836.619424,3.00595,2.060297,2.060297,2.165522,5.85,0.042998,0.407481,0.813953,0.610717,0.002444,11.42,0.1395,0.8277,0.037609,0.413851,0.224792
EGY,Egypt,8526.670366,104188.945312,12.219183,53.399246,66289.329855,0.636241,1.488814,1.488814,1.595251,2.97,0.048204,0.506542,0.0,0.253271,0.333889,11.75,0.0,0.0095,0.07578,0.392683,0.077845
ESP,Spain,49499.636382,648282.0625,13.096704,39.038692,1802081.036506,2.779779,2.119394,2.119394,2.383862,6.13,0.005617,0.78628,0.790698,0.788489,0.448889,12.38,0.1335,0.1335,0.032166,0.627182,0.280415
EST,Estonia,,,,,144346.183888,,2.710464,2.710464,,8.84,0.028994,0.61637,,,,,0.0,0.0068,,0.655423,
